14:59:57.379 [main] INFO  n.j.business.ManagmentServiceImpl - [checkPerson] - Comprobando si la persona existe
14:59:57.379 [main] INFO  n.j.business.ManagmentServiceImpl - [checkEmployee] - ENTRADA MÉTODO
14:59:57.379 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - ENTRADA MÉTODO
14:59:57.379 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - FIN MÉTODO
14:59:57.379 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - ENTRADA MÉTODO
14:59:57.379 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - FIN MÉTODO
14:59:57.379 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - ENTRADA MÉTODO
14:59:57.379 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - FIN MÉTODO
14:59:57.379 [main] INFO  n.j.business.ManagmentServiceImpl - [checkEmployee] - FIN MÉTODO
14:59:57.379 [main] INFO  n.j.business.ManagmentServiceImpl - [checkStudent] - ENTRADA MÉTODO
14:59:57.379 [main] INFO  n.javat3.business.student.School - [containStudent] - ENTRADA MÉTODO
14:59:57.379 [main] INFO  n.javat3.business.student.School - [containStudent] - FIN MÉTODO
14:59:57.379 [main] INFO  n.javat3.business.student.School - [containStudent] - ENTRADA MÉTODO
14:59:57.379 [main] INFO  n.javat3.business.student.School - [containStudent] - FIN MÉTODO
14:59:57.379 [main] INFO  n.javat3.business.student.School - [containStudent] - ENTRADA MÉTODO
14:59:57.380 [main] INFO  n.javat3.business.student.School - [containStudent] - FIN MÉTODO
14:59:57.380 [main] INFO  n.javat3.business.student.School - [containStudent] - ENTRADA MÉTODO
14:59:57.380 [main] INFO  n.javat3.business.student.School - [containStudent] - FIN MÉTODO
14:59:57.380 [main] INFO  n.javat3.business.student.School - [containStudent] - ENTRADA MÉTODO
14:59:57.380 [main] INFO  n.javat3.business.student.School - [containStudent] - FIN MÉTODO
14:59:57.380 [main] INFO  n.j.business.ManagmentServiceImpl - [checkStudent] - FIN MÉTODO
14:59:57.380 [main] INFO  n.j.business.ManagmentServiceImpl - [addPerson] - Creando empleado
14:59:57.380 [main] INFO  n.j.business.ManagmentServiceImpl - [addEmployee] - ENTRADA MÉTODO
14:59:57.380 [main] INFO  n.j.business.ManagmentServiceImpl - [addEmployee] - Empleado añadido
14:59:57.380 [main] INFO  n.j.business.ManagmentServiceImpl - [addEmployee] - FIN MÉTODO
14:59:57.380 [main] INFO  n.j.business.ManagmentServiceImpl - [addPerson] - Empleado creado
